Sample	Passed Filter	Low Quality	Too Many N	Too Short
SC_498	26076931	15251	2659	217231
SC_497	27108752	11324	2705	304498
SC_496	29864732	4578	2754	130918
SC_492	25902175	4976	2395	180873
SC_491	30005946	4894	2688	80638
SC_488	27451043	5365	0	59799
SC_487	32792849	5855	0	176474
SC_486	23841295	4237	2203	131261
SC_485	24040279	4169	2236	89682
SC_484	22390398	4976	0	161121
SC_479	28985440	8641	0	137006
SC_473	29963527	11795	0	823386
SC_472	24762283	6767	0	472976
SC_471	27274809	7936	0	286317
SC_461	26617557	6534	0	212650
SC_460	24511017	6243	0	141101
SC_459	21812610	6763	0	246528
SC_458	24917568	7531	0	915399
SC_457	28462133	9639	0	175197
SC_443	25759967	8715	0	105580
SC_439	26919537	4620	467	81184
SC_433	22889982	6005	412	104653
SC_429	26412991	7107	507	157182
SC_428	30264593	3627	1348	73331
SC_421	26397634	6047	0	191644
SC_417	32637092	5833	1471	108999
SC_414	30685370	6332	6	111047
SC_413	35024428	5660	15	92171
SC_410	25468605	5884	8	158859
SC_409	24669024	4486	5	151028
SC_408	22724344	3410	4	150790
SC_403	25267639	7446	5	146429
SC_400	28983782	7395	6	187264
SC_398	33050345	7052	10	169023
SC_394	27421844	7443	7	261995
SC_390	23463711	6076	7	116279
SC_387	28574932	7430	8	111023
SC_380	25402217	5572	15	91222
SC_375	27330112	6060	6	145343
SC_373	30306166	6448	8	125857
SC_372	2960399	312	0	24593
SC_371	26197052	4973	5	143561
SC_366	21174231	4323	4	67040
SC_363	24534061	7225	0	210997
SC_360	27787611	7524	0	120572
SC_359	33960846	8683	0	378392
SC_350	21238362	4926	0	106689
SC_346	1514207	240	0	22696
SC_345	5501168	733	0	219992
SC_344	22456936	6371	0	154478
SC_343	20206920	3386	7	56094
SC_340	26093755	6769	0	156922
SC_337	16231607	4912	93	71862
SC_334	27973519	7200	106	114733
SC_331	24840969	7760	85	348671
SC_330	22071272	7223	76	441944
SC_325	23268984	6846	80	300964
SC_321	23679209	6202	90	235155
SC_319	18797667	6986	1854	316826
SC_318	25185262	9376	2583	201343
SC_315	24956614	8029	2392	187212
SC_314	22096599	12496	2122	183043
SC_313	27440166	6240	94	137343
SC_312	24869702	7165	93	216825
SC_309	23373612	10296	5032	263506
SC_307	25884554	12288	2559	147814
SC_303	24620250	9760	2369	244703
SC_301	26407879	8155	5884	212077
SC_298	35470316	17236	3396	246514
SC_296	20693984	6448	2023	76279
SC_294	26326111	13509	2860	2866187
SC_293	23497499	10072	2336	334170
SC_292	27236829	12646	2677	470441
SC_290	27702091	8318	84	134418
SC_288	26865592	12322	2692	374174
SC_287	23216021	11079	2407	351316
SC_286	30837021	12731	3049	114826
SC_284	24454080	4813	5347	110558
